id,title,date,master,production,category,cast,notes,format,tags,url,encora,niceDate
,Cats,2006-03-31,Unknown,German Tour (2005),audio,"Eva Gullvag Aasgard (u/s Grizabella), F. Dion Davis (Old Deuteronomy), Jens Janke (Gus), Carien Keizer (Bombalurina), Jack Rebaldi (Munkustrap), Linus Fagerström (Rum Tum Tugger), Ellen Wawrzyniak (Demeter), May-Britt Dettbarn (u/s Cassandra), Nils Sundberg (Skimbleshanks), Jens Janke (Bustopher Jones), Anton Perez (u/s Mungojerrie), Joanne McShane (Rumpleteazer), Patricia Gressley (u/s Jellylorum), Patricia Hodell (u/s Jennyanydots), Mark John Richardson (Mr. Mistoffelees), Florian Theiler (u/s Macavity), Andrew Waters (u/s Alonzo), Jens Janke (Growltiger), Daymon Montaigne Jones (Tumblebrutus), Marides Lazo (Sillabub), Daniel Ruiz (u/s Pouncival), Francesca Taverni (u/s Electra), Florian Theiler (u/s Plato), Patricia Gressley (u/s Griddlebone), Michelle Marier (u/s Tantomile), Elisabetta Pignataro (Victoria)",,,,MEGA,1130906,"Mar 31, 2006"
,Cats,2006-03-30,soundboard,Moscow,audio,"Nadezhda Solovjova (Grizabella), Oleg Fedkushov (Old Deuteronomy), Igor Balalaev (Gus), Anna Bagmet (Bombalurina), Ivan Ozhogin (Munkustrap), Aleksey Bobrov (Rum Tum Tugger), Marat Abdrakhimov (Skimbleshanks), Igor Balalaev (Bustopher Jones), Aleksandr Bocharov (Mungojerrie), Victoria Kanatkina (Rumpleteazer), Oksana Kostetskaya (Jellylorum), Anna Guchenkova (Jennyanydots), Maxim Ushakov (Mr. Mistoffelees), Igor Balalaev (Growltiger), Valentina Rubtsova (Jemima)",,,,MEGA,8497,"Mar 30, 2006"
,Cats,2006-03-22,Unknown,Warsaw,audio,"Jakub Szydłowski (Rum Tum Tugger), Łukasz Zagrobelny (Victor)",,,,MEGA,34650,"Mar 22, 2006"
,Cats,2006-03-18,Unknown,Moscow,audio,"Nadezhda Solovjova (Grizabella), Marat Abdrakhimov (Old Deuteronomy), Ivan Ozhogin (Munkustrap), Aleksey Bobrov (Rum Tum Tugger), Zhargal Zhalsanov (Skimbleshanks), Victoria Kanatkina (Rumpleteazer), Maxim Ushakov (Mr. Mistoffelees)",,,,MEGA,1125780,"Mar 18, 2006"
,Cats,2006-03-01,Unknown,Moscow,video,"Maria Shorostova (Grizabella), Nadezhda Solovjova (Grizabella), Marat Abdrakhimov (Old Deuteronomy), Oleg Fedkushov (Old Deuteronomy), Pavel Kotov (Old Deuteronomy), Igor Balalaev (Gus), Andrey Bogdanov (Gus), Anna Bagmet (Bombalurina), Alyona Burova (Bombalurina), Ivan Ozhogin (Munkustrap), Aleksey Bobrov (Rum Tum Tugger), Pavel Kotov (Rum Tum Tugger), Olga Belyaeva (Demeter), Svetlana Shustova (Cassandra), Marina Dunaeva (Cassandra), Angelina Drubetskaya (Cassandra), Marat Abdrakhimov (Skimbleshanks), Zhargal Zhalsanov (Skimbleshanks), Andrey Bogdanov (Bustopher Jones), Zhargal Zhalsanov (Mungojerrie), Evgeniy Chekin (Mungojerrie), Andrey Gluschenko (Mungojerrie), Aleksandr Bocharov (Mungojerrie), Victoria Kanatkina (Rumpleteazer), Oksana Kostetskaya (Jellylorum), Anna Guchenkova (Jennyanydots), Irina Perova (Jennyanydots), Maxim Ushakov (Mr. Mistoffelees), Vasiliy Lukyanenko (Macavity), Andrey Borisov (Alonzo), Andrey Bogdanov (Growltiger), Igor Balalaev (Growltiger), Vasiliy Lukyanenko (Admetus), Dmitriy Bunin (Tumblebrutus), Angelina Drubetskaya (Jemima), Valentina Rubtsova (Jemima), Vladislav Romero (Pouncival), Vitaliy Terekhovskiy (Pouncival), Oksana Kostetskaya (Griddlebone), Marina Khramova (Tantomile), Andrey Borisov (Rumpus Cat), Aleksandra Sinitsyna (Victoria), Ertine Kongar (Coricopat), Evgeniy Chekin (Coricopat)",,,,MEGA,2005714,"Mar 1, 2006"
,Cats,2006-02-18,Unknown,Fullerton Civic Light Opera,audio,"Mary Gutzi (Grizabella), Bradley Baker (Old Deuteronomy), Jenn Aedo (Bombalurina), Ashley Cowl (Demeter), Billy Johnstone (Skimbleshanks), Stephen Diaz (Mungojerrie), Nickie Gentry (Rumpleteazer), Omhmar Griffin (Mr. Mistoffelees)",,,,MEGA,1127113,"Feb 18, 2006"
,Cats,2006-02-15,Unknown,Moscow,audio,"Nadezhda Solovjova (Grizabella), Oleg Fedkushov (Old Deuteronomy), Ivan Ozhogin (Munkustrap), Aleksey Bobrov (Rum Tum Tugger), Marat Abdrakhimov (Skimbleshanks), Victoria Kanatkina (Rumpleteazer), Maxim Ushakov (Mr. Mistoffelees)",,,,MEGA,1125779,"Feb 15, 2006"
,Cats,2006-02-05,Unknown,Moscow,audio,"Nadezhda Solovjova (Grizabella), Oleg Fedkushov (Old Deuteronomy), Ivan Ozhogin (Munkustrap), Pavel Kotov (Rum Tum Tugger), Marat Abdrakhimov (Skimbleshanks), Victoria Kanatkina (Rumpleteazer), Almas Dildebaev (Mr. Mistoffelees)",,,,MEGA,1125778,"Feb 5, 2006"
,Mamma Mia!,2006-02-05,Unknown,International Tour,audio,"Helen Hobson (Donna Sheridan), Emily Dykes (Sophie), Joanna Monro (Rosie), Geraldine Fitzgerald (Tanya), Marcus Cunningham (Bill Austin), Cameron Blakely (Sam Carmichael), Dale Rapley (Harry Bright), Michael D. Xavier (Sky), Tommy Sherlock (Pepper), Daniella Gibb (Lisa), Louise Bowden (Ali), Jamie Sampson (Eddie), Luke Baxter (Father Alexander)",,,,MEGA,1134512,"Feb 5, 2006"
,Cats,2005-12-10,Unknown,Moscow,audio,"Nadezhda Solovjova (Grizabella), Pavel Kotov (Old Deuteronomy), Igor Balalaev (Gus), Anna Bagmet (Bombalurina), Ivan Ozhogin (Munkustrap), Konstantin Sokolov (Rum Tum Tugger), Olga Belyaeva (Demeter), Marat Abdrakhimov (Skimbleshanks), Igor Balalaev (Bustopher Jones), Aleksandr Bocharov (Mungojerrie), Victoria Kanatkina (Rumpleteazer), Oksana Kostetskaya (Jellylorum), Irina Perova (Jennyanydots), Alexandr Babenko (Mr. Mistoffelees), Igor Balalaev (Growltiger), Valentina Rubtsova (Jemima)",,,,MEGA,1125777,"Dec 10, 2005"
,Tanz der Vampire,2005-11-10,pro-shot,Hamburg,video,"Kevin Tarte (Graf von Krolock), Jessica Kessler (Sarah), Max Niemeyer (Alfred), Stefan Poslovski (Professor Abronsius), Jerzy Jeszke (Chagal), Franziska Forster (Magda), Tim Reichwein (Herbert von Krolock), Simone Pohl (Rebecca), Stefan Büdenbender (Koukol)",,,,MEGA,9769,"Nov 10, 2005"
,Cats,2005-09-13,SunsetBlvd79,Fifth US National Tour (Non-Equity),video,"Esther Stilwell (Grizabella), Philip Peterson (Old Deuteronomy), Bruce Warren (Gus), Chelsea Cicci (Bombalurina), Derek Hanson (Munkustrap), Jeremy Hays (Rum Tum Tugger), Emily Padgett (Demeter), Katherine Warner Johnson (Cassandra), Drew Little (Skimbleshanks), Bruce Warren (Bustopher Jones), Cesar Abreu (Mungojerrie), Josephine Rose Roberts (Rumpleteazer), Darla Cardwell (Jellylorum), Susan Lewis (Jennyanydots), Ryan Patrick Farrell (Mr. Mistoffelees), Nathan Garland (Macavity), Alex Ringler (Alonzo), Bruce Warren (Growltiger), Brandon Tyler (Tumblebrutus), Jessica Vaccaro (Sillabub), Zachary Leigh Denison (Pouncival), Darla Cardwell (Griddlebone), Bruce Warren (Asparagus), Sarah Kay Marchetti (Victoria)",,,,MEGA,26860,"Sep 13, 2005"
,Cats,2005-08-06,Unknown,German Tour (2005),audio,"Maaike Schuurmans (Grizabella), Hartwig Rudolz (Gus), Arne Stephan (Rum Tum Tugger), Uli Scherbel (Skimbleshanks), Hartwig Rudolz (Bustopher Jones), Markus Giess (Mungojerrie), Hartwig Rudolz (Growltiger), Karin Sang (Tantomile)",,,,MEGA,1004370,"Aug 6, 2005"
,Cats,2005-08-01,Unknown,Fifth US National Tour (Non-Equity),audio,"Esther Stilwell (Grizabella), Philip Peterson (Old Deuteronomy), Chelsea Cicci (Bombalurina), Derek Hanson (Munkustrap), Jeremy Hays (Rum Tum Tugger), Emily Padgett (Demeter), Katherine Warner Johnson (Cassandra), Drew Little (Skimbleshanks), Bruce Warren (Bustopher Jones), Cesar Abreu (Mungojerrie), Darla Cardwell (Jellylorum), Susan Lewis (Jennyanydots), Ryan Patrick Farrell (Mr. Mistoffelees), Nathan Garland (Macavity), Alex Ringler (Alonzo)",,,,MEGA,1125796,"Aug 1, 2005"
,"tick, tick...BOOM!",2005-07-01,Unknown,Off-West End,audio,"Neil Patrick Harris (Jon), Tee Jaye (Michael), Cassidy Janson (Susan)",,,,MEGA,30984,"Jul 1, 2005"
,Cats,2005-06-01,Unknown,Fifth US National Tour (Non-Equity),video,"Natalie Attino (Grizabella), Jason Simon (Old Deuteronomy), Christine LaDuca (Bombalurina), Amy Phillips (Demeter), Steven C. Rich (Bustopher Jones), Gregory Haney (Mungojerrie), Lisa Schale (Rumpleteazer), Kym Chambers Otto (Jellylorum), Justin Wingenroth (Mr. Mistoffelees), Adam Perry (Alonzo), Steven C. Rich (Growltiger), Kym Chambers Otto (Griddlebone), Steven C. Rich (Asparagus)",,,,MEGA,1129169,"Jun 1, 2005"
,Jesus Christ Superstar,2005-05-01,pro-shot,"Bolzano, Italy",video,"Rob Fowler (Jesus Christ), Dave Moskin (Judas Iscariot), Talita Angwarmasse (Mary Magdalene), Erwin Windegger (Pontius Pilate), Thierry Gondet (King Herod)",,,,MEGA,28748,"May 1, 2005"
,Cats,2005-03-19,Unknown,Moscow,audio,"Elena Charkviani (Grizabella), Oleg Fedkushov (Old Deuteronomy), Igor Balalaev (Gus), Anna Bagmet (Bombalurina), Ivan Ozhogin (Munkustrap), Aleksey Bobrov (Rum Tum Tugger), Olga Belyaeva (Demeter), Marat Abdrakhimov (Skimbleshanks), Igor Balalaev (Bustopher Jones), Andrey Gluschenko (Mungojerrie), Victoria Kanatkina (Rumpleteazer), Oksana Kostetskaya (Jellylorum), Elena Alexandrova (Jennyanydots), Alexandr Babenko (Mr. Mistoffelees), Igor Balalaev (Growltiger), Valentina Rubtsova (Jemima)",,,,MEGA,1125776,"Mar 19, 2005"
,Cats,2005-01-01,pro-shot,Moscow,video,"Elena Charkviani (Grizabella), Maria Shorostova (Grizabella), Oleg Fedkushov (Old Deuteronomy), Anna Bagmet (Bombalurina), Ivan Ozhogin (Munkustrap), Aleksey Bobrov (Rum Tum Tugger), Olga Belyaeva (Demeter), Andrey Bogdanov (Bustopher Jones), Konstantin Sokolov (Mungojerrie), Victoria Kanatkina (Rumpleteazer), Oksana Kostetskaya (Jellylorum), Almas Dildebaev (Mr. Mistoffelees), Valentina Rubtsova (Jemima)",,,,MEGA,26859,"Jan 1, 2005"
,Cats,2005-01-01,Unknown,Moscow,video,"Olga Belyaeva (Grizabella), Oleg Fedkushov (Old Deuteronomy), Igor Balalaev (Gus), Anna Bagmet (Bombalurina), Ivan Ozhogin (Munkustrap), Aleksey Bobrov (Rum Tum Tugger), Marat Abdrakhimov (Skimbleshanks), Igor Balalaev (Bustopher Jones), Aleksandr Bocharov (Mungojerrie), Victoria Kanatkina (Rumpleteazer), Oksana Kostetskaya (Jellylorum), Anna Guchenkova (Jennyanydots), Maxim Ushakov (Mr. Mistoffelees), Igor Balalaev (Growltiger), Valentina Rubtsova (Jemima)",,,,MEGA,1003627,"Jan 1, 2005"
,Cats,2004-10-29,Unknown,Düsseldorf,video,"Francesca Taverni (u/s Grizabella), Christian Schleicher (u/s Old Deuteronomy), Claus Dam (Gus), Rachel Marshall (Bombalurina), Mathias Sanders (Munkustrap), Ralf Schaedler (u/s Rum Tum Tugger), Abigail Dever (Demeter), Constanze Möricke (Cassandra), Stephan Zenker (u/s Skimbleshanks), Claus Dam (Bustopher Jones), Markus Giess (Mungojerrie), Selma Rudalics (Rumpleteazer), Petra Madita Kübitz (u/s Jellylorum), Hanny Aden (u/s Jennyanydots), Mark John Richardson (Mr. Mistoffelees), Vanni Viscusi (Macavity), Thomas Margies (u/s Alonzo), Claus Dam (Growltiger), Daymon Montaigne Jones (Bill Bailey), Daymon Montaigne Jones (Tumblebrutus), Marides Lazo (Sillabub), Drew McOnie (Pouncival), Karin Sang (u/s Electra), Vanni Viscusi (Plato), Patricia Meeden (Tantomile), Tiziana Doneda (Victoria), Christian De Varas (Coricopat)",,,,MEGA,1004350,"Oct 29, 2004"
,Singin' in the Rain,2004-09-23,pro-shot,"Madrid, Spain",video,"Daniel Caballero (Don Lockwood), Victor Ullate Roche (Cosmo Brown), Xenia Reguant (Kathy Selden), Marta Solaz (Lina Lamont), David Venancio Muro (R.F. Simpson), Joan Agulló (Professor), Ana Alcázar (Broadway Ballet Girl)",,,,MEGA,1131023,"Sep 23, 2004"
,Cats,2004-09-11,Unknown,Düsseldorf,audio,"Maaike Schuurmans (u/s Grizabella), John Wiseman (Old Deuteronomy), Rachel Marshall (Bombalurina), Mathias Sanders (Munkustrap), Gido Schimanski (u/s Rum Tum Tugger), Abigail Rosser (Demeter), Constanze Möricke (Cassandra), Stephan Zenker (u/s Skimbleshanks), Christian Schleicher (u/s Bustopher Jones), Christian De Varas (u/s Mungojerrie), Selma Rudalics (Rumpleteazer), Francesca Taverni (u/s Jellylorum), Coleen Besset (Jennyanydots), Jason Scerri (u/s Mr. Mistoffelees), Dominik Hofbauer (Alonzo), Christian Schleicher (u/s Growltiger), Daymon Montaigne Jones (Tumblebrutus), Marides Lazo (Sillabub), Drew McOnie (Pouncival), Francesca Taverni (u/s Griddlebone), Christian Schleicher (u/s Asparagus), Patricia Meeden (Tantomile), Bridie Rack (u/s Victoria)",,,,MEGA,6925,"Sep 11, 2004"
,Cats,2004-06-03,pro-shot,Madrid,video,"Helen de Quiroga (Grizabella), Pedro Ruy Blas (Old Deuteronomy), Enrique Sequero (Gus), Paqui Sánchez Melchior (Bombalurina), Jack Rebaldi (Munkustrap), Edu del Prado (Rum Tum Tugger), Guadalupe Lancho (Demeter), Laura Rodríguez (Cassandra), Alberto Sánchez (Skimbleshanks), Enrique Sequero (Bustopher Jones), Hugo Riveros Delporte (Mungojerrie), Raquel Grijalba (Rumpleteazer), Gorane Markínez (Jellylorum), Marta Malone (Jennyanydots), Victor Ullate Roche (Mr. Mistoffelees), Pepe Muñoz (Macavity), Javier Toca Juara (Alonzo), Enrique Sequero (Growltiger), Juan Carlos Verdú (Bill Bailey), Pepe Muñoz (Admetus), Juan Carlos Verdú (Tumblebrutus), Sandra Rausell (Jemima), Andrés Pérez Lopez (Pouncival), Eva Álvarez (Electra), Silvia Álvarez (Tantomile), María Teresa Cora (Victoria), Santiago Cano (Coricopat)",,,,MEGA,30874,"Jun 3, 2004"
,Cats,2004-05-25,Unknown,Warsaw,video,"Ewa Lachowicz (Demeter), Nijole Henning (Electra), Anna Julia Dębowska (Fraszka), Agnieszka Jaroszyńska (Fantazja)",,,,MEGA,26965,"May 25, 2004"
,Cats,2004-04-17,Unknown,World Tour,audio,"Slindile Nodangala (Grizabella), Simon Pryce (Old Deuteronomy), Belinda Allchin (Bombalurina), Anton Luitingh (Munkustrap), Paul Warwick Griffin (Rum Tum Tugger), Helen Burger (Demeter), Catherine Daymond (Cassandra), Darryl Evans (Skimbleshanks), Tony Farrell (Bustopher Jones), Gareth Hewitt Williams (Mungojerrie), Chireen Ferreira (Rumpleteazer), Angela Kilian (Jellylorum), Fem Belling (Jennyanydots), Adrian Ricks (Mr. Mistoffelees), Barnaby Ingram (Macavity), Clinton Meneses (Alonzo), Tony Farrell (Growltiger), Grant Almirall (Tumblebrutus), Catherine Brodie (Sillabub), Karabo Maithufi (Pouncival), Barnaby Ingram (Plato), Angela Kilian (Griddlebone), Tony Farrell (Asparagus), Nastassia Zealand (Tantomile), Clinton Meneses (Rumpus Cat), Katherine Davidson (Victoria), Duane Alexander (Coricopat)",,,,MEGA,1004369,"Apr 17, 2004"
,1776,2004-04-13,pro-shot,Performance Riverside,video,"Steve Glaudini (John Adams), Nils Anderson (Benjamin Franklin), David Humphrey (Thomas Jefferson), Robert Standley (John Dickinson), Stan Chandler (Edward Rutledge), Jill Van Velzer (Abigail Adams), Shannon Watson (Martha Jefferson), Sean Cox (Richard Henry Lee), John Massey Jr. (John Hancock)",,,,MEGA,13919,"Apr 13, 2004"
,Cats,2004-01-01,house-cam,Berlin,video,"Ethan Freeman (Gus), Natacza Soozie Boon (Bombalurina), Michael Knese (u/s Munkustrap), Uli Scherbel (u/s Rum Tum Tugger), Susa Meyer (Demeter), Gido Schimanski (u/s Skimbleshanks), Ethan Freeman (Bustopher Jones), Stephan Zenker (u/s Mungojerrie), Selma Rudalics (Rumpleteazer), Nadja Solovieva (Jennyanydots), Ben Tyrrell (Mr. Mistoffelees), Scott Owen (u/s Macavity), Zoltan Adok (Alonzo), Ethan Freeman (Growltiger), Dmitriy Frid (u/s Bill Bailey), Dmitriy Frid (u/s Tumblebrutus), Julia J Berger (Sillabub), Mark John Richardson (Pouncival), Scott Owen (u/s Plato), Karin Sang (Tantomile), Michelle Marier (u/s Victoria)",,,,MEGA,1004348,"Jan 1, 2004"
,Cats,2004-01-01,Unknown,Madrid,audio,"Helen de Quiroga (Grizabella), Pedro Ruy Blas (Old Deuteronomy), Enrique Sequero (Gus), Paqui Sánchez Melchior (Bombalurina), Jack Rebaldi (Munkustrap), Edu del Prado (Rum Tum Tugger), Guadalupe Lancho (Demeter), Laura Rodríguez (Cassandra), Alberto Sánchez (Skimbleshanks), Enrique Sequero (Bustopher Jones), Hugo Riveros Delporte (Mungojerrie), Raquel Grijalba (Rumpleteazer), Gorane Markínez (Jellylorum), Marta Malone (Jennyanydots), Victor Ullate Roche (Mr. Mistoffelees), Pepe Muñoz (Macavity), Javier Toca Juara (Alonzo), Enrique Sequero (Growltiger), Juan Carlos Verdú (Bill Bailey), Pepe Muñoz (Admetus), Juan Carlos Verdú (Tumblebrutus), Sandra Rausell (Jemima), Andrés Pérez Lopez (Pouncival), Eva Álvarez (Electra), Silvia Álvarez (Tantomile), María Teresa Cora (Victoria), Santiago Cano (Coricopat)",,,,MEGA,1125792,"Jan 1, 2004"
,Jesus Christ Superstar,2004-01-01,Unknown,Japan,audio,"Daisuke Yanase (Jesus Christ), Kiyomichi Shiba (Judas Iscariot), Chie Inoue (Mary Magdalene), Toshihide Mura (Pontius Pilate), Osamu Takai (Caiaphas), Kentoku Kina (Annas), Yusuke Kayama (Peter), Takaei Akira (Simon Zealotes), Shunichiro Hanba (King Herod), Yuji Naga (Priest), Morito Masuda (Priest), Katsuhito Kobayashi (Priest)",,mp3 tracked,,MEGA,1120075,"Jan 1, 2004"
,Cats,2003-11-27,Unknown,Berlin,video,"Cornelia Drese (Grizabella), Anton Rattinger (Old Deuteronomy), Ethan Freeman (Gus), Francesca Taverni (Bombalurina), Michael Knese (Munkustrap), John Partridge (Rum Tum Tugger), Susa Meyer (Demeter), Constanze Möricke (Cassandra), Gido Schimanski (Skimbleshanks), Ethan Freeman (Bustopher Jones), Anton Perez (Mungojerrie), Julia J Berger (Rumpleteazer), Coleen Besset (Jellylorum), Jacqui Dunnley-Wendt (Jennyanydots), Ben Tyrrell (Mr. Mistoffelees), Dmitriy Frid (Macavity), Stephan Zenker (Alonzo), Ethan Freeman (Growltiger), Friedrich Bührer (Bill Bailey), Friedrich Bührer (Tumblebrutus), Sheila Kaminski (Sillabub), Mark John Richardson (Pouncival), Tiziana Doneda (Electra), Dmitriy Frid (Plato), Natalie Holtom (Tantomile), Bridie Rack (Victoria)",,,,MEGA,1004357,"Nov 27, 2003"
,Cats,2003-11-12,Unknown,Berlin,audio,"Cornelia Drese (Grizabella), Uli Scherbel (u/s Munkustrap), John Partridge (Rum Tum Tugger), Ben Tyrrell (Mr. Mistoffelees)",,,,MEGA,1004367,"Nov 12, 2003"
,Cats,2003-10-26,house-cam,Berlin,video,"Nadja Solovieva (Grizabella), Ethan Freeman (Gus), Rudi Reschke (Munkustrap), Gido Schimanski (u/s Rum Tum Tugger), Uli Scherbel (Skimbleshanks), Ethan Freeman (Bustopher Jones), Selma Rudalics (Rumpleteazer), Mark John Richardson (u/s Mr. Mistoffelees), Ethan Freeman (Growltiger)",,,,MEGA,1004346,"Oct 26, 2003"
,Starlight Express,2003-09-13,Unknown,Second US Tour,video,"Franklyn Warfield (Rusty), Clarissa Grace (Pearl), Drue Williams (Greaseball), Dustin Dubreuil (Electra), Dennis Legree (Poppa), Katie O'Toole (Dinah), Joanna Loughran-Richert (Buffy), Kait Holbrook (Ashley), Jeremy Kocal (Caboose)",,,,MEGA,23958,"Sep 13, 2003"
,Cats,2003-08-23,Unknown,Third UK Tour,audio,"Chrissie Hammond (Grizabella), Nicholas Pound (Old Deuteronomy), Emma Tunmore (Bombalurina), Norman Bowman (Munkustrap), Stuart Ramsay (Rum Tum Tugger), Barbara King (Demeter), Matthew Gould (Skimbleshanks), Tom Dwyer (Mungojerrie), Katy Jo Howman (Rumpleteazer)",,,,MEGA,13558,"Aug 23, 2003"
,Chicago,2003-08-14,Unknown,First West End Revival,video,"Linzi Hateley (Roxie Hart), Ruthie Henshall (Velma Kelly), Rolf Saxon (Billy Flynn), Norman Pace (Amos Hart), Zee Asha (Matron ""Mama"" Morton)",,,,MEGA,18493,"Aug 14, 2003"
,Jesus Christ Superstar,2003-07-23,pro-shot,Performance Riverside,video,"Walter Winston O'Neil (Jesus Christ), Christopher Hall (Judas Iscariot), Eden Espinosa (Mary Magdalene), Eric Anderson (Pontius Pilate), Ron Sampson (Caiaphas), Ben Fisher (Annas), David Beaver (Peter), Paul Klees (King Herod)",,,,MEGA,1000984,"Jul 23, 2003"
,Cats,2003-07-01,Unknown,Third UK Tour,video,"Chrissie Hammond (Grizabella), Summer Strallen (Cassandra), Sally Whitehead (Jennyanydots), Guy-Paul Roult de St Germain (Mr. Mistoffelees), Adrian Edmeades (Tantomile)",,,,MEGA,1000673,"Jul 1, 2003"
,Cats,2003-06-14,house-cam,Berlin,video,"Nadja Solovieva (u/s Grizabella), Rudi Reschke (Munkustrap), Uli Scherbel (Rum Tum Tugger), Roimata Templeton (Rumpleteazer), Tersia Potgieter (Jellylorum), Mark John Richardson (u/s Mr. Mistoffelees)",,,,MEGA,1004362,"Jun 14, 2003"
,Cats,2003-04-26,Unknown,Third UK Tour,audio,"Chrissie Hammond (Grizabella), Nicholas Pound (Old Deuteronomy), Patrick Clancy (Gus), Emma Tunmore (Bombalurina), Norman Bowman (Munkustrap), Stuart Ramsay (Rum Tum Tugger), Barbara King (Demeter), Summer Strallen (Cassandra), Matthew Gould (Skimbleshanks), Patrick Clancy (Bustopher Jones), Tom Dwyer (Mungojerrie), Katy Jo Howman (Rumpleteazer), Rebecca Vere (Jellylorum), Karen Clegg (Jennyanydots), Guy-Paul Roult de St Germain (Mr. Mistoffelees), Ben Tribe (u/s Macavity), Matthew Cole (Alonzo), Patrick Clancy (Growltiger), Tommi Sliiden (Bill Bailey), Ben Tribe (u/s Admetus), Tommi Sliiden (Tumblebrutus), Paul Farrell (Carbucketty), Sally Bayes (Jemima), Madeleine Harland (Tantomile), Emily Anderson (Victoria), Adrian Edmeades (Coricopat)",,,,MEGA,13559,"Apr 26, 2003"
,Cats,2003-03-17,Unknown,Third UK Tour,audio,"Chrissie Hammond (Grizabella), Nicholas Pound (Old Deuteronomy), Emma Tunmore (Bombalurina), Norman Bowman (Munkustrap), Stuart Ramsay (Rum Tum Tugger), Barbara King (Demeter), Matthew Gould (Skimbleshanks), Tom Dwyer (Mungojerrie), Katy Jo Howman (Rumpleteazer)",,,,MEGA,13557,"Mar 17, 2003"
,Cats,2003-03-01,house-cam,Berlin,video,"Cornelia Drese (Grizabella), Michael Knese (u/s Gus), Sabine Hettlich (Bombalurina), Rudi Reschke (Munkustrap), John Partridge (Rum Tum Tugger), Lada Kummer (Demeter), Uli Scherbel (Skimbleshanks), Michael Knese (u/s Bustopher Jones), Roimata Templeton (Rumpleteazer), Ben Tyrrell (Mr. Mistoffelees), Michael Knese (u/s Growltiger)",,,,MEGA,1004345,"Mar 1, 2003"
,Cats,2003-02-26,Unknown,Fifth US National Tour (Non-Equity),audio,"Dee Roscioli (Grizabella), Martin C. Hurt (Old Deuteronomy), Ronnie Nelson (Gus), Lucie Wood (Bombalurina), Brian Collier (Rum Tum Tugger), Robin Wilner (Demeter), Ronnie Nelson (Bustopher Jones), Mario Martinez (Mungojerrie), Katie Wanner (Rumpleteazer), Nicole Johndrow (Jellylorum), Mary Elisabeth Sweeney (Jennyanydots), Ronnie Nelson (Growltiger), Yoey Abramowicz (Tumblebrutus), Jaqueline Stephen (Sillabub), Ronnie Nelson (Asparagus), Jean Michelle Sayeg (Victoria)",,,,MEGA,1138331,"Feb 26, 2003"
,Funny Girl,2002-09-23,pro-shot,Actors' Fund Benefit Concert,video,"Julia Murney (Fanny Brice), Lillias White (Fanny Brice), Carolee Carmello (Fanny Brice), Andrea Martin (Fanny Brice), Judy Kuhn (Fanny Brice), Bebe Neuwirth (Fanny Brice), Jane Krakowski (Fanny Brice), Ana Gasteyer (Fanny Brice), LaChanze (Fanny Brice), Kristin Chenoweth (Fanny Brice), Spencer Kayden (Fanny Brice), Ricki Lake (Fanny Brice), Idina Menzel (Fanny Brice), Sutton Foster (Fanny Brice), Whoopi Goldberg (Fanny Brice), Peter Gallagher (Nick Arnstein), Kaye Ballard (Mrs. Brice), John Scherer (Eddie), Len Cariou (Florenz Ziegfield), Adriane Lenox (Emma), Christine Pedi (Mrs. Meeker), Kristine Zbornik (Mrs. O'Malley), Marcia Lewis (Mrs. Strakosh), Gary Beach (Tom Keeney), Brad Oscar (Paul), John Bolton (John), Richard Kind (Mr. Renaldi), Laurie Gamache (Bubbles), Deidre Goodwin (Maude), Jason Danieley (Tenor), John Paul Almon (Actor), Rusty Reynolds (Snub Taylor), Rusty Reynolds (Ben), Peter Gregus (Ensemble), Michael Benjamin Washington (Ensemble), Michael Serapiglia (Ensemble), Jessica Pariseau (Ensemble), Michelle Potterf (Ensemble), Trisha Rapier (Ensemble), Naomi Kakuk (Ensemble), Paul Castree (Ensemble), Sara Lepere (Ensemble), Steven Brinberg (Ensemble), Ric Ryder (Ensemble), Stephanie Mills (Ensemble), Robert Fowler (Ensemble), Robin Byrd (Ensemble), Stacey Todd Holt (Ensemble), Sam Harris (Ensemble), Farah Alvin (Ensemble), Alan Souza (Ensemble), Bill Burns (Ensemble), Brad Musgrove (Ensemble), Christopher Kenney | Edie (Ensemble), Damian Keenan (Ensemble), David McKeown (Ensemble), Debra Denys Smith (Ensemble), Eileen Tepper (Ensemble), Maryann Hu (Ensemble), Gay Willis (Ensemble), Jamie Harris (Ensemble), Jeff Roberson (Ensemble), Jenny Sandler (Ensemble), Jermaine R. Rembert (Ensemble), Kate Coffman-Lloyd (Ensemble), Mary Birdsong (Ensemble)",,,,MEGA,10280,"Sep 23, 2002"
,Taboo,2002-09-09,Unknown,West End,audio,"Matt Lucas (Leigh), John Partridge (Marilyn), Euan Morton (George), Lucy Newton (Kim), Drew Jamyson (Steve Strange), Luke Evans (Billy), Gail MacKinon (Sue Tilly), Lyn Paul (Josie), David Burt (Petal), David Burt (Derek), Paul Baker (Philip Salon)",,,,MEGA,1005463,"Sep 9, 2002"
